contract_no,cedant,line_of_business,inception_date,expiry_date,re_assumed,re_ceded,currency,reinsurer,remark
OS-2026-0001,Cape Union Insurance,Marine Cargo,07/27/2026,07/27/2027,492000,221000,USD,Alpine Re,
OS-2026-0002,Cape Union Insurance,Fire,07/30/2026,07/30/2027,131000,58000,USD,Kestrel Re,
OS-2026-0003,Sundeck Insurance Co.,Personal Accident,02/26/2026,02/26/2027,470000,141000,USD,Alpine Re,
OS-2026-0004,Harbour Point Assurance,Cyber Liability,04/02/2026,04/02/2027,127000,25000,USD,Seabright Re,
OS-2026-0005,Blue Ridge Insurance,Cyber Liability,02/20/2026,02/20/2027,544000,108000,USD,Kestrel Re,
OS-2026-0006,Cape Union Insurance,Fire,03/10/2026,03/10/2027,603000,271000,USD,Northgate Re,
OS-2026-0007,Pacific General Insurance,Marine Cargo,07/20/2026,07/20/2027,790000,237000,USD,Lumen Reinsurance,
OS-2026-0008,Meridian Marine Ins.,Fire,03/04/2026,04/06/2027,919000,0,USD,Lumen Reinsurance,
OS-2026-0009,Blue Ridge Insurance,Personal Accident,06/18/2026,06/18/2027,840000,168000,USD,Alpine Re,
OS-2026-0010,Harbour Point Assurance,Fire,04/06/2026,04/06/2027,614000,0,USD,Northgate Re,
OS-2026-0011,Northstar Underwriters,Engineering,05/12/2026,05/12/2027,431000,193000,USD,Lumen Reinsurance,
OS-2026-0012,Meridian Marine Ins.,Casualty,04/02/2026,04/02/2027,167700000,75400000,KRW,Northgate Re,KRW booked at inception
OS-2026-0013,Harbour Point Assurance,Fire,04/28/2026,04/28/2027,748000,224000,USD,Orion Re,
OS-2026-0014,Vanguard Indemnity Ltd.,Engineering,07/08/2026,07/08/2027,647000,0,USD,Alpine Re,
OS-2026-0015,Blue Ridge Insurance,Casualty,07/09/2026,07/09/2027,29000,5000,USD,Seabright Re,
OS-2026-0016,Meridian Marine Ins.,Fire,01/23/2026,01/23/2027,588000,176000,USD,Orion Re,
OS-2026-0017,Harbour Point Assurance,Marine Cargo,06/14/2026,06/14/2027,721000,324000,USD,Northgate Re,
OS-2026-0018,Sundeck Insurance Co.,Cyber Liability,05/15/2026,05/15/2027,537000,107000,USD,Seabright Re,
OS-2026-0019,Northstar Underwriters,Cyber Liability,05/20/2026,05/20/2027,844000,253000,USD,Alpine Re,
OS-2026-0020,Meridian Marine Ins.,Marine Cargo,07/13/2026,07/13/2027,135000,40000,USD,Alpine Re,
OS-2026-0021,Pacific General Insurance,Engineering,03/25/2026,03/25/2027,251000,112000,USD,Seabright Re,
OS-2026-0022,Pacific General Insurance,Fire,03/11/2026,03/11/2027,337000,151000,USD,Orion Re,
OS-2026-0023,Meridian Marine Ins.,Casualty,01/16/2026,01/16/2027,98000,19000,USD,Northgate Re,
OS-2026-0024,Pacific General Insurance,Casualty,04/05/2026,04/05/2027,576000,172000,USD,Seabright Re,
OS-2026-0025,Harbour Point Assurance,Cyber Liability,05/16/2026,05/16/2027,779000,0,USD,Northgate Re,
OS-2026-0026,Northstar Underwriters,Engineering,03/09/2026,03/09/2027,546000,0,USD,Northgate Re,
OS-2026-0027,Cape Union Insurance,Fire,05/09/2026,05/09/2027,286000,85000,USD,Seabright Re,
OS-2026-0028,Harbour Point Assurance,Cyber Liability,07/11/2026,07/11/2027,944000,424000,USD,Seabright Re,
OS-2026-0029,Cape Union Insurance,Personal Accident,05/03/2026,05/03/2027,115000,34000,USD,Northgate Re,
OS-2026-0030,Pacific General Insurance,Cyber Liability,07/01/2026,07/01/2027,510000,102000,USD,Alpine Re,
OS-2026-0031,Sundeck Insurance Co.,Marine Cargo,02/06/2026,02/06/2027,801000,0,USD,Seabright Re,
OS-2026-0032,Northstar Underwriters,Casualty,06/30/2026,06/30/2027,92000,27000,USD,Lumen Reinsurance,
